member_id,score_certifications,score_capacity_headroom,readiness_score,readiness_band
M001,60,97,58,Near Ready
M002,40,69,38,Developing
M003,40,63,47,Developing
M004,40,60,41,Developing
M005,60,76,52,Developing
M006,20,96,50,Developing
M007,20,33,38,Developing
M008,100,96,61,Near Ready
M009,70,47,52,Developing
M010,100,97,69,Near Ready
M011,20,45,48,Developing
M012,100,42,67,Near Ready
M013,20,47,54,Developing
M014,40,100,67,Near Ready
M015,40,85,52,Developing
M016,100,87,66,Near Ready
M017,40,100,46,Developing
M018,20,65,34,Early Stage
M019,70,51,57,Near Ready
M020,20,70,62,Near Ready
M021,40,79,52,Developing
M022,20,56,32,Early Stage
M023,60,70,47,Developing
M024,90,34,52,Developing
M025,90,100,75,Export Ready
M026,40,69,61,Near Ready
M027,50,69,43,Developing
M028,20,63,30,Early Stage
M029,60,88,68,Near Ready
M030,40,100,46,Developing
M031,90,34,71,Near Ready
M032,40,100,64,Near Ready
M033,90,43,56,Near Ready
M034,40,99,39,Developing
M035,60,43,58,Near Ready
M036,70,63,64,Near Ready
M037,90,40,60,Near Ready
M038,60,92,68,Near Ready
M039,60,94,57,Near Ready
M040,60,100,44,Developing
M041,40,100,55,Near Ready
M042,20,40,55,Near Ready
M043,20,100,52,Developing
M044,90,29,73,Near Ready
M045,20,100,40,Developing
M046,20,33,43,Developing
M047,20,51,37,Developing
M048,80,40,56,Near Ready
M049,100,100,73,Near Ready
M050,80,99,74,Near Ready
M051,40,56,51,Developing
M052,80,87,81,Export Ready
M053,80,100,64,Near Ready
M054,20,96,54,Developing
M055,20,100,39,Developing
M056,40,65,58,Near Ready
M057,80,45,54,Developing
M058,50,97,50,Developing
M059,20,33,36,Developing
M060,40,100,62,Near Ready
M061,20,83,39,Developing
M062,40,29,45,Developing
M063,70,60,60,Near Ready
M064,70,51,59,Near Ready
M065,20,51,38,Developing
M066,80,83,73,Near Ready
M067,50,90,38,Developing
M068,100,51,74,Near Ready
M069,40,33,56,Near Ready
M070,20,72,33,Early Stage
M071,20,36,46,Developing
M072,20,40,31,Early Stage
